,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,30,1.0,1.0,1.0,0.0,1.0,0.0,1,5,5,487,2,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
1,39,2.0,2.0,2.0,0.0,0.0,0.0,2,5,5,346,4,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
2,25,2.0,1.0,2.0,0.0,1.0,0.0,2,6,3,227,1,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
3,38,2.0,1.0,1.0,0.0,1.0,0.0,2,6,5,17,3,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
4,47,3.0,1.0,3.0,0.0,1.0,0.0,1,11,1,58,1,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
5,32,2.0,2.0,3.0,0.0,0.0,0.0,1,9,4,128,3,999,2,2,-1.0,94.0,-38.0,1.0,4964.0,0
6,32,3.0,2.0,3.0,0.0,1.0,0.0,1,9,1,290,4,999,0,1,-1.0,94.0,-38.0,1.0,4964.0,0
7,41,4.0,1.0,3.0,0.0,1.0,0.0,1,11,1,44,2,999,0,1,-0.0,93.0,-42.0,4.0,5196.0,0
8,31,2.0,3.0,4.0,0.0,0.0,0.0,1,11,2,68,1,999,1,2,-0.0,93.0,-42.0,4.0,5196.0,0
9,35,1.0,1.0,1.0,0.0,0.0,0.0,2,5,4,170,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
10,25,2.0,2.0,5.0,0.0,1.0,0.0,1,7,4,301,1,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
11,36,5.0,2.0,6.0,0.0,0.0,0.0,1,7,4,148,1,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
12,36,3.0,1.0,2.0,0.0,0.0,0.0,2,5,3,97,2,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
13,47,1.0,1.0,6.0,0.0,1.0,0.0,2,6,4,211,2,999,0,1,1.0,94.0,-42.0,5.0,5228.0,0
14,29,3.0,2.0,2.0,0.0,0.0,0.0,1,5,5,553,2,999,0,1,-2.0,93.0,-46.0,1.0,5099.0,0
15,27,2.0,2.0,3.0,0.0,0.0,0.0,1,7,3,698,2,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
16,44,3.0,3.0,3.0,0.0,0.0,0.0,1,7,3,191,6,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
17,46,3.0,3.0,3.0,0.0,1.0,0.0,2,7,1,59,4,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
18,45,4.0,1.0,3.0,0.0,1.0,1.0,1,8,1,38,2,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
19,50,1.0,1.0,6.0,0.0,0.0,1.0,1,7,2,849,1,999,0,1,1.0,94.0,-43.0,5.0,5228.0,1
20,55,2.0,1.0,5.0,0.0,1.0,0.0,1,7,2,326,6,999,0,1,1.0,94.0,-43.0,5.0,5228.0,0
21,39,6.0,3.0,2.0,0.0,0.0,0.0,1,3,1,222,1,12,2,3,-2.0,93.0,-35.0,1.0,5009.0,1
22,29,6.0,2.0,3.0,0.0,1.0,1.0,1,8,3,626,3,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
23,40,7.0,1.0,2.0,0.0,0.0,1.0,1,8,3,119,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,0
24,44,6.0,1.0,4.0,0.0,1.0,0.0,2,5,5,388,7,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
25,38,6.0,1.0,4.0,0.0,1.0,0.0,1,8,1,479,1,999,0,1,1.0,93.0,-36.0,5.0,5228.0,1
26,36,6.0,3.0,4.0,0.0,0.0,0.0,2,5,3,446,1,999,0,1,1.0,94.0,-36.0,5.0,5191.0,0
